Name,Group,SeqPlatform,Filtering_n291,NumReads,ReadsMapped,PctOnTarget,GenesMapped,GenesWithContigs,GenesWithSeqs,GenesAt25pct,GenesAt50pct,GenesAt75pct,GenesAt150pct,ParalogWarningsLong,ParalogWarningsDepth,GenesWithoutStitchedContigs,GenesWithStitchedContigs,GenesWithStitchedContigsSkipped,GenesWithChimeraWarning
Both_CX_TaibM,outgroup,MiSeq,No,688656,188241,27.3,351,316,300,299,297,288,193,27,31,174,126,0,0
Trig_CX_Road,outgroup,HiSeq,No,2764498,735509,26.6,350,329,321,322,320,318,285,25,45,184,138,0,0
albo_SO_Duns1,ingroup,HiSeq,No,713040,52196,7.3,341,247,236,234,220,190,92,15,18,184,52,0,0
albo_SO_Duns2,ingroup,HiSeq,Yes,3211230,1076994,33.5,351,337,329,329,328,324,295,76,140,179,150,0,0
albo_SO_Duns3,ingroup,HiSeq,Yes,2263308,813424,35.9,349,335,330,330,329,326,284,68,128,171,159,0,0
anan_CI_Azim,ingroup,HiSeq,Yes,1258568,446775,35.5,349,328,318,317,314,309,257,67,101,182,136,0,0
anan_CI_Hone1,ingroup,HiSeq,Yes,1896282,708157,37.3,351,331,321,321,318,315,266,72,106,161,160,0,0
anan_CI_Hone2,ingroup,HiSeq,Yes,1903582,695880,36.6,349,333,328,328,327,324,282,77,128,168,160,0,0
anan_CI_Menh,ingroup,HiSeq,Yes,2418614,906885,37.5,352,336,329,329,327,326,301,84,147,175,154,0,0
anan_NG_Hiku,ingroup,HiSeq,Yes,2512216,860468,34.3,350,333,328,328,327,324,297,94,141,187,141,0,0
anan_NS_Maun,ingroup,HiSeq,Yes,3614340,1272249,35.2,351,341,332,332,331,326,295,90,141,177,155,0,0
anan_NV_Kawe,ingroup,HiSeq,Yes,3738356,1206815,32.3,352,337,331,331,330,327,300,87,143,177,154,0,0
anan_NV_Maki,ingroup,HiSeq,Yes,2859012,1063878,37.2,352,337,329,329,328,321,284,74,131,159,170,0,0
anan_NV_Volc,ingroup,HiSeq,Yes,2198380,851339,38.7,352,338,327,327,326,323,272,68,121,159,168,0,0
anan_SC_Awak,ingroup,HiSeq,Yes,1484610,338587,22.8,344,319,313,313,310,303,268,71,112,183,130,0,0
anan_SC_BPAhM,ingroup,MiSeq,No,573978,203892,35.5,348,304,295,295,294,287,230,52,80,189,106,0,0
anan_SC_Pott,ingroup,HiSeq,Yes,2485898,947346,38.1,351,335,326,326,324,321,279,78,134,170,157,0,0
anan_SM_Tapu,ingroup,HiSeq,Yes,1702274,716813,42.1,351,335,328,328,325,319,266,61,108,161,167,0,0
anan_SM_Tenn,ingroup,HiSeq,Yes,2172790,816025,37.6,352,335,325,325,322,317,267,67,119,161,165,0,0
