individual,island,morph_group,353_clade,nrDNA_clade,plastome_clade
albo_SO_Duns2,S,ee,10,6,11
albo_SO_Duns3,S,ee,10,6,11
albo_SO_Duns1,S,ee,,,
angu_SN_Arth1M,S,ee,,,
angu_SN_Arth2,S,ee,4,6,1
angu_SN_Bens,S,ee,4,6,1
angu_SN_Bell,S,ee,4,6,1
anan_CI_Menh,sub,bp,9,6,9
anan_CI_Azim,sub,bp,9,,
anan_CI_Hone1,sub,bp,4,7,6
anan_CI_Hone2,sub,bp,9,5,9
anan_NG_Hiku,N,bp,9,6,2
anan_NS_Maun,N,bp,9,6,4
anan_NV_Maki,N,bp,9,6,2
anan_NV_Kawe,N,bp,9,,
anan_NV_Volc,N,bp,9,6,4
anan_SC_Awak,S,bp,9,,
anan_SC_BPAhM,S,bp,,7,2
anan_SC_Pott,S,bp,9,7,2
anan_SF_Tama,S,bp,,,
anan_SM_Tapu,S,bp,9,7,2
anan_SM_Tenn,S,bp,7,7,4
anan_SO_CoroM,S,bp,,5,2
anan_SO_Macr,S,bp,9,6,2
anan_SO_Rock,S,bp,9,6,3
anan_SS_Blac,S,bp,9,5,2
anan_SN_Peel,S,bp,9,6,2
anan_SS_Coal,S,bp,9,5,2
antr_NS_Waka,N,bp,7,7,4
antr_NT_Araw,N,bp,9,6,2
antr_NT_Mani,N,bp,9,6,2
antr_NT_Opun,N,bp,9,6,2
antr_SO_Chas,S,bp,9,6,9
antr_SS_Fals,S,bp,9,6,2
antr_SS_Tiwa,S,bp,9,6,9
antr_SN_Patu,S,bp,9,6,2
antr_SN_HoarM,S,bp,,7,2
antr_SN_Arth1,S,bp,9,7,2
antr_SN_Arth2,S,bp,9,7,2
antr_SN_Sand,S,bp,9,6,2
arno_SM_Benm1,S,ee,5,7,10
arno_SM_Benm2,S,ee,5,7,10
arno_SN_Hoar1,S,ee,8,7,1
arno_SN_Hoar2,S,ee,8,7,1
auau_AN_Barr,A,ee,4,,
auau_AT_Skul,A,ee,4,5,7
auau_AT_Anne,A,ee,4,5,7
auau_AW_Gard,A,ee,4,2,7
auau_AW_Rott,A,ee,4,,
auau_NV_Kawe,N,ee,6,5,10
auau_SC_BPEv,S,ee,6,5,10
auau_SC_BPWa,S,ee,,,
auau_SC_BPAh,S,ee,6,5,10
auau_SC_BPMa,S,ee,6,5,10
auau_SC_BPMi,S,ee,6,5,10
auau_SC_BPMo,S,ee,6,5,10
auau_SC_BPCa,S,ee,6,5,10
auau_SC_BPTo1,S,ee,6,5,10
auau_SC_BPTo2,S,ee,6,5,10
auau_SC_Torl,S,ee,6,5,10
auau_SM_Tenn,S,ee,6,,
auau_SO_Ida,S,ee,6,5,10
auau_SN_Cobb,S,ee,,,
auau_SN_Hoar,S,ee,,,
auau_SN_Larr,S,ee,5,7,9
auau_SN_Tril,S,ee,5,7,9
brev_NS_Ngaw,N,bp,7,7,4
brev_NS_Ikaa,N,bp,7,7,4
brev_NS_Ohau,N,bp,7,7,4
brev_NT_Puke,N,bp,7,,
brev_NT_Sten,N,bp,7,7,4
brev_SO_Bann,S,bp,,7,4
brev_SO_Bend1,S,bp,7,7,4
brev_SO_Bend2,S,bp,7,7,4
brev_SO_Chap,S,bp,7,7,4
brbr_SN_Grow1M,S,ee,,1,9
brbr_SN_Grow2M,S,ee,,1,9
brbr_SN_Cobb,S,ee,5,1,5
brbr_SN_Sphi,S,ee,5,1,9
brbr_SN_Gorg,S,ee,5,1,5
brdy_SN_Four1,S,ee,5,7,5
brdy_SN_Four2,S,ee,5,7,5
brdy_SN_Otuh,S,ee,5,,
brdy_SN_BerlM,S,ee,5,,
brdy_SN_Mang,S,ee,5,,
brdy_SN_Hapu,S,ee,5,,
bryo_SC_Kaka,S,bp,8,5,4
bryo_SO_OldM2,S,bp,8,5,2
bryo_SO_Garv1,S,bp,8,6,2
bryo_SO_Garv2,S,bp,8,5,2
bryo_SO_Lamm,S,bp,8,5,8
bryo_SO_OldM1,S,bp,8,,
bryo_SO_Rema,S,bp,8,6,8
capi_AA_Dick1,sub,ee,4,7,6
capi_AA_Dick2,sub,ee,4,7,6
capi_AE_NE1,sub,ee,4,7,6
capi_AE_NE2,sub,ee,4,7,6
chaf_SN_Payn,S,bp,,7,5
chaf_SN_Magn,S,bp,5,7,5
chaf_SN_Taka,S,bp,5,,
chee_SO_McKa,S,bp,10,6,11
chee_SO_Kirt,S,bp,10,6,11
chee_SO_Pisa1M,S,bp,10,6,11
chee_SO_Pisa2,S,bp,10,6,11
hyb_SO_Kirt1,S,hyb,10,6,11
hyb_SO_Kirt2,S,hyb,10,,
hyb_SO_Kirt3,S,hyb,10,6,11
cole_SC_Cast1,S,bp,,,
cole_SC_Cast3,S,bp,7,7,4
cole_SC_Cast2,S,bp,7,7,4
cole_SC_Cast4,S,bp,7,7,4
cole_SC_RedH,S,bp,7,7,4
cole_SM_Chal1,S,bp,7,,
cole_SM_Chal2M,S,bp,,7,2
cole_SM_Chal3,S,bp,7,,
hyb_SM_Chal1M,S,hyb,,,
hyb_SM_Chal2M,S,hyb,7,1,2
conc_SN_Cull,S,ee,5,1,2
conc_SN_Stai,S,ee,5,1,2
conc_SN_Bell,S,ee,5,1,1
exar_AT_Junc1,A,ee,4,,
exar_AT_Junc2,A,ee,4,,
exar_AT_Lena1,A,ee,4,2,7
exar_AT_Lena2,A,ee,4,2,7
